Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;FAZENDA RIO GRANDE;4107652;4107652;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;PIÊN;4119103;4119103;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;PINHAIS;4119152;4119152;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;PIRAQUARA;4119509;4119509;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;TUNAS DO PARANÁ;4127882;4127882;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 5 a 9 anos;2;2;Feminino;2;2;DOUTOR ULYSSES;4128633;4128633;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;ADRIANÓPOLIS;4100202;4100202;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;AGUDOS DO SUL;4100301;4100301;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;CERRO AZUL;4105201;4105201;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;COLOMBO;4105805;4105805;X;X
9031;Grande região;3;Região Sudeste;3;2010;8030;31/07/2010;De 10 a 14 anos;3;3;Masculino;1;1;CURITIBA;4106902;4106902;666;69
